X - .MC:I	Y - .MC:I	
-0.94933	-170.7	
-0.94933	-130.7	
-0.94797	-125.7	
-0.94797	-165.7	
-0.94662	-165.7	
-0.94662	-125.7	
-0.94527	-125.7	
-0.94527	-175.7	
-0.94391	-170.7	
-0.94391	-125.7	
-0.94255	-125.7	
-0.94255	-170.7	
-0.9412	-190.7	
-0.9412	-120.7	
-0.93985	-125.7	
-0.93985	-170.7	
-0.9385	-180.7	
-0.9385	-130.7	
-0.93714	-130.7	
-0.93714	-165.7	
-0.93578	-175.7	
-0.93578	-120.7	
-0.93443	-120.7	
-0.93443	-165.7	
-0.93308	-170.7	
-0.93308	-120.7	
-0.93172	-105.7	
-0.93172	-185.7	
-0.93037	-175.7	
-0.93037	-120.7	
-0.92901	-120.7	
-0.92901	-170.7	
-0.92766	-170.7	
-0.92766	-130.7	
-0.9263	-125.7	
-0.9263	-170.7	
-0.92495	-175.7	
-0.92495	-120.7	
-0.92359	-120.7	
-0.92359	-170.7	
-0.92224	-180.7	
-0.92224	-120.7	
-0.92089	-120.7	
-0.92089	-170.7	
-0.91954	-170.7	
-0.91954	-125.7	
-0.91818	-125.7	
-0.91818	-170.7	
-0.91682	-175.7	
-0.91682	-130.7	
-0.91547	-125.7	
-0.91547	-175.7	
-0.91411	-180.7	
-0.91411	-120.7	
-0.91276	-120.7	
-0.91276	-175.7	
-0.91141	-175.7	
-0.91141	-110.7	
-0.91005	-120.7	
-0.91005	-170.7	
-0.9087	-170.7	
-0.9087	-130.7	
-0.90734	-125.7	
-0.90734	-165.7	
-0.90599	-175.7	
-0.90599	-125.7	
-0.90463	-120.7	
-0.90463	-170.7	
-0.90328	-170.7	
-0.90328	-115.7	
-0.90193	-120.7	
-0.90193	-180.7	
-0.90058	-170.7	
-0.90058	-125.7	
-0.89922	-130.7	
-0.89922	-170.7	
-0.89786	-175.7	
-0.89786	-125.7	
-0.89651	-125.7	
-0.89651	-185.7	
-0.89516	-180.7	
-0.89516	-120.7	
-0.8938	-120.7	
-0.8938	-185.7	
-0.89245	-170.7	
-0.89245	-125.7	
-0.89109	-115.7	
-0.89109	-175.7	
-0.88974	-165.7	
-0.88974	-120.7	
-0.88838	-130.7	
-0.88838	-170.7	
-0.88703	-170.7	
-0.88703	-130.7	
-0.88567	-125.7	
-0.88567	-175.7	
-0.88432	-170.7	
-0.88432	-120.7	
-0.88297	-125.7	
-0.88297	-175.7	
-0.88162	-170.7	
-0.88162	-120.7	
-0.88026	-125.7	
-0.88026	-180.7	
-0.8789	-170.7	
-0.8789	-125.7	
-0.87755	-125.7	
-0.87755	-170.7	
-0.87619	-170.7	
-0.87619	-120.7	
-0.87484	-115.7	
-0.87484	-170.7	
-0.87349	-170.7	
-0.87349	-130.7	
-0.87214	-115.7	
-0.87214	-170.7	
-0.87078	-180.7	
-0.87078	-120.7	
-0.86942	-125.7	
-0.86942	-170.7	
-0.86807	-170.7	
-0.86807	-130.7	
-0.86672	-125.7	
-0.86672	-170.7	
-0.86536	-170.7	
-0.86536	-120.7	
-0.86401	-120.7	
-0.86401	-175.7	
-0.86265	-175.7	
-0.86265	-120.7	
-0.8613	-115.7	
-0.8613	-185.7	
-0.85994	-170.7	
-0.85994	-125.7	
-0.85859	-125.7	
-0.85859	-170.7	
-0.85723	-170.7	
-0.85723	-125.7	
-0.85588	-120.7	
-0.85588	-180.7	
-0.85453	-170.7	
-0.85453	-120.7	
-0.85318	-120.7	
-0.85318	-165.7	
-0.85182	-170.7	
-0.85182	-125.7	
-0.85046	-115.7	
-0.85046	-170.7	
-0.84911	-165.7	
-0.84911	-130.7	
-0.84775	-130.7	
-0.84775	-170.7	
-0.8464	-175.7	
-0.8464	-125.7	
-0.84505	-125.7	
-0.84505	-170.7	
-0.8437	-175.7	
-0.8437	-130.7	
-0.84234	-120.7	
-0.84234	-180.7	
-0.84098	-180.7	
-0.84098	-125.7	
-0.83963	-125.7	
-0.83963	-165.7	
-0.83828	-170.7	
-0.83828	-125.7	
-0.83692	-130.7	
-0.83692	-170.7	
-0.83557	-170.7	
-0.83557	-125.7	
-0.83421	-120.7	
-0.83421	-175.7	
-0.83286	-175.7	
-0.83286	-125.7	
-0.83151	-115.7	
-0.83151	-175.7	
-0.83015	-185.7	
-0.83015	-125.7	
-0.82879	-125.7	
-0.82879	-170.7	
-0.82744	-170.7	
-0.82744	-130.7	
-0.82608	-125.7	
-0.82608	-180.7	
