X - .MC:V	Y - .MC:V	
-0.94933	-19.37	
-0.94933	-12.5	
-0.94797	-13.12	
-0.94797	-21.25	
-0.94662	-19.37	
-0.94662	-13.12	
-0.94527	-12.5	
-0.94527	-20	
-0.94391	-19.37	
-0.94391	-12.5	
-0.94255	-11.87	
-0.94255	-19.37	
-0.9412	-21.25	
-0.9412	-10.62	
-0.93985	-11.87	
-0.93985	-19.37	
-0.9385	-21.87	
-0.9385	-11.87	
-0.93714	-13.75	
-0.93714	-19.37	
-0.93578	-19.37	
-0.93578	-12.5	
-0.93443	-11.87	
-0.93443	-20.62	
-0.93308	-19.37	
-0.93308	-12.5	
-0.93172	-9.373	
-0.93172	-19.37	
-0.93037	-18.75	
-0.93037	-11.87	
-0.92901	-13.75	
-0.92901	-18.75	
-0.92766	-16.87	
-0.92766	-12.5	
-0.9263	-12.5	
-0.9263	-18.75	
-0.92495	-21.87	
-0.92495	-13.12	
-0.92359	-13.12	
-0.92359	-19.37	
-0.92224	-20	
-0.92224	-9.998	
-0.92089	-11.25	
-0.92089	-20.62	
-0.91954	-19.37	
-0.91954	-13.12	
-0.91818	-12.5	
-0.91818	-18.75	
-0.91682	-21.87	
-0.91682	-11.87	
-0.91547	-12.5	
-0.91547	-20	
-0.91411	-21.87	
-0.91411	-13.12	
-0.91276	-12.5	
-0.91276	-18.75	
-0.91141	-21.25	
-0.91141	-10.62	
-0.91005	-11.87	
-0.91005	-20	
-0.9087	-20.62	
-0.9087	-12.5	
-0.90734	-12.5	
-0.90734	-18.75	
-0.90599	-20	
-0.90599	-12.5	
-0.90463	-9.373	
-0.90463	-18.75	
-0.90328	-19.37	
-0.90328	-12.5	
-0.90193	-12.5	
-0.90193	-18.75	
-0.90058	-21.87	
-0.90058	-11.87	
-0.89922	-11.87	
-0.89922	-19.37	
-0.89786	-19.37	
-0.89786	-12.5	
-0.89651	-12.5	
-0.89651	-19.37	
-0.89516	-19.37	
-0.89516	-13.12	
-0.8938	-11.25	
-0.8938	-21.87	
-0.89245	-20.62	
-0.89245	-11.87	
-0.89109	-11.87	
-0.89109	-19.37	
-0.88974	-18.75	
-0.88974	-13.12	
-0.88838	-13.75	
-0.88838	-21.25	
-0.88703	-19.37	
-0.88703	-12.5	
-0.88567	-12.5	
-0.88567	-20	
-0.88432	-20	
-0.88432	-12.5	
-0.88297	-11.87	
-0.88297	-19.37	
-0.88162	-21.87	
-0.88162	-10.62	
-0.88026	-13.12	
-0.88026	-22.5	
-0.8789	-18.75	
-0.8789	-12.5	
-0.87755	-12.5	
-0.87755	-21.87	
-0.87619	-20	
-0.87619	-10.62	
-0.87484	-11.87	
-0.87484	-19.37	
-0.87349	-20	
-0.87349	-11.25	
-0.87214	-9.998	
-0.87214	-19.37	
-0.87078	-20.62	
-0.87078	-11.87	
-0.86942	-12.5	
-0.86942	-20	
-0.86807	-18.75	
-0.86807	-12.5	
-0.86672	-12.5	
-0.86672	-18.75	
-0.86536	-20.62	
-0.86536	-13.12	
-0.86401	-10.62	
-0.86401	-18.75	
-0.86265	-18.12	
-0.86265	-13.12	
-0.8613	-10.62	
-0.8613	-19.37	
-0.85994	-21.25	
-0.85994	-11.87	
-0.85859	-11.25	
-0.85859	-20	
-0.85723	-21.87	
-0.85723	-12.5	
-0.85588	-11.87	
-0.85588	-19.37	
-0.85453	-20	
-0.85453	-11.87	
-0.85318	-11.25	
-0.85318	-19.37	
-0.85182	-19.37	
-0.85182	-11.25	
-0.85046	-12.5	
-0.85046	-20	
-0.84911	-21.25	
-0.84911	-12.5	
-0.84775	-12.5	
-0.84775	-21.87	
-0.8464	-18.75	
-0.8464	-12.5	
-0.84505	-11.25	
-0.84505	-19.37	
-0.8437	-20	
-0.8437	-13.75	
-0.84234	-11.87	
-0.84234	-21.25	
-0.84098	-19.37	
-0.84098	-11.25	
-0.83963	-12.5	
-0.83963	-19.37	
-0.83828	-19.37	
-0.83828	-11.87	
-0.83692	-12.5	
-0.83692	-19.37	
-0.83557	-19.37	
-0.83557	-13.12	
-0.83421	-11.25	
-0.83421	-20	
-0.83286	-21.87	
-0.83286	-12.5	
-0.83151	-11.87	
-0.83151	-20	
-0.83015	-18.75	
-0.83015	-11.25	
-0.82879	-11.25	
-0.82879	-21.25	
-0.82744	-18.75	
-0.82744	-13.75	
-0.82608	-12.5	
-0.82608	-20	
-0.82473	-19.37	
-0.82473	-13.12	
-0.82338	-11.87	
-0.82338	-18.75	
-0.82203	-20	
-0.82203	-12.5	
-0.82067	-10.62	
-0.82067	-21.25	
-0.81931	-18.75	
-0.81931	-11.87	
-0.81796	-11.87	
-0.81796	-18.75	
-0.81661	-21.25	
-0.81661	-11.87	
-0.81525	-11.25	
